candidate,office,district,party,county,precinct,total votes,
Lou Barletta,U.S. Senate,,REP,Cambria,Chest Springs Boro,37,
Neal Gale,U.S. Senate,,GR,Cambria,Chest Springs Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Chest Springs Boro,2,
Write In,U.S. Senate,,,Cambria,Chest Springs Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Chest Springs Boro,30,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Chest Springs Boro,37,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Chest Springs Boro,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Chest Springs Boro,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Chest Springs Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Chest Springs Boro,,
John Joyce,US House,13,REP,Cambria,Chest Springs Boro,,
Write In,US House,13,,Cambria,Chest Springs Boro,,
Susan Boser,US House,15,DEM,Cambria,Chest Springs Boro,25,
Glenn Gt Thompson,US House,15,REP,Cambria,Chest Springs Boro,43,
Write In,US House,15,,Cambria,Chest Springs Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Chest Springs Boro,,
Jim Rigby,State House,71,REP,Cambria,Chest Springs Boro,,
Write In,State House,71,,Cambria,Chest Springs Boro,,
Frank Burns,State House,72,DEM,Cambria,Chest Springs Boro,41,
Jerry Carnicella,State House,72,REP,Cambria,Chest Springs Boro,29,
Write In,State House,72,,Cambria,Chest Springs Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Chest Springs Boro,,
Write In,State House,73,,Cambria,Chest Springs Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Chest Twp,56,
Lou Barletta,U.S. Senate,,REP,Cambria,Chest Twp,117,
Neal Gale,U.S. Senate,,GR,Cambria,Chest Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Chest Twp,2,
Write In,U.S. Senate,,,Cambria,Chest Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Chest Twp,51,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Chest Twp,125,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Chest Twp,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Chest Twp,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Chest Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Chest Twp,,
John Joyce,US House,13,REP,Cambria,Chest Twp,,
Write In,US House,13,,Cambria,Chest Twp,,
Susan Boser,US House,15,DEM,Cambria,Chest Twp,47,
Glenn Gt Thompson,US House,15,REP,Cambria,Chest Twp,130,
Write In,US House,15,,Cambria,Chest Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Chest Twp,,
Jim Rigby,State House,71,REP,Cambria,Chest Twp,,
Write In,State House,71,,Cambria,Chest Twp,,
Frank Burns,State House,72,DEM,Cambria,Chest Twp,75,
Jerry Carnicella,State House,72,REP,Cambria,Chest Twp,102,
Write In,State House,72,,Cambria,Chest Twp,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Chest Twp,,
Write In,State House,73,,Cambria,Chest Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Clearfied Twp,217,
Lou Barletta,U.S. Senate,,REP,Cambria,Clearfied Twp,414,
Neal Gale,U.S. Senate,,GR,Cambria,Clearfied Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Clearfied Twp,3,
Write In,U.S. Senate,,,Cambria,Clearfied Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Clearfied Twp,215,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Clearfied Twp,417,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Clearfied Twp,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Clearfied Twp,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Clearfied Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Clearfied Twp,,
John Joyce,US House,13,REP,Cambria,Clearfied Twp,,
Write In,US House,13,,Cambria,Clearfied Twp,,
Susan Boser,US House,15,DEM,Cambria,Clearfied Twp,183,
Glenn Gt Thompson,US House,15,REP,Cambria,Clearfied Twp,454,
Write In,US House,15,,Cambria,Clearfied Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Clearfied Twp,,
Jim Rigby,State House,71,REP,Cambria,Clearfied Twp,,
Write In,State House,71,,Cambria,Clearfied Twp,,
Frank Burns,State House,72,DEM,Cambria,Clearfied Twp,284,
Jerry Carnicella,State House,72,REP,Cambria,Clearfied Twp,353,
Write In,State House,72,,Cambria,Clearfied Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Clearfied Twp,,
Write In,State House,73,,Cambria,Clearfied Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Conemaugh Twp-Cover Hill,161,
Lou Barletta,U.S. Senate,,REP,Cambria,Conemaugh Twp-Cover Hill,237,
Neal Gale,U.S. Senate,,GR,Cambria,Conemaugh Twp-Cover Hill,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Conemaugh Twp-Cover Hill,4,
Write In,U.S. Senate,,,Cambria,Conemaugh Twp-Cover Hill,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Conemaugh Twp-Cover Hill,162,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Conemaugh Twp-Cover Hill,239,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Conemaugh Twp-Cover Hill,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Conemaugh Twp-Cover Hill,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Conemaugh Twp-Cover Hill,0,
Brent Ottaway,US House,13,DEM,Cambria,Conemaugh Twp-Cover Hill,130,
John Joyce,US House,13,REP,Cambria,Conemaugh Twp-Cover Hill,269,
Write In,US House,13,,Cambria,Conemaugh Twp-Cover Hill,1,
Susan Boser,US House,15,DEM,Cambria,Conemaugh Twp-Cover Hill,,
Glenn Gt Thompson,US House,15,REP,Cambria,Conemaugh Twp-Cover Hill,,
Write In,US House,15,,Cambria,Conemaugh Twp-Cover Hill,,
Bryan Barbin,State House,71,DEM,Cambria,Conemaugh Twp-Cover Hill,159,
Jim Rigby,State House,71,REP,Cambria,Conemaugh Twp-Cover Hill,246,
Write In,State House,71,,Cambria,Conemaugh Twp-Cover Hill,1,
Frank Burns,State House,72,DEM,Cambria,Conemaugh Twp-Cover Hill,,
Jerry Carnicella,State House,72,REP,Cambria,Conemaugh Twp-Cover Hill,,
Write In,State House,72,,Cambria,Conemaugh Twp-Cover Hill,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Conemaugh Twp-Cover Hill,,
Write In,State House,73,,Cambria,Conemaugh Twp-Cover Hill,,
Bob Casey,U.S. Senate,,DEM,Cambria,Conemaugh Twp-Center,173,
Lou Barletta,U.S. Senate,,REP,Cambria,Conemaugh Twp-Center,265,
Neal Gale,U.S. Senate,,GR,Cambria,Conemaugh Twp-Center,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Conemaugh Twp-Center,1,
Write In,U.S. Senate,,,Cambria,Conemaugh Twp-Center,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Conemaugh Twp-Center,182,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Conemaugh Twp-Center,260,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Conemaugh Twp-Center,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Conemaugh Twp-Center,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Conemaugh Twp-Center,0,
Brent Ottaway,US House,13,DEM,Cambria,Conemaugh Twp-Center,139,
John Joyce,US House,13,REP,Cambria,Conemaugh Twp-Center,297,
Write In,US House,13,,Cambria,Conemaugh Twp-Center,1,
Susan Boser,US House,15,DEM,Cambria,Conemaugh Twp-Center,,
Glenn Gt Thompson,US House,15,REP,Cambria,Conemaugh Twp-Center,,
Write In,US House,15,,Cambria,Conemaugh Twp-Center,,
Bryan Barbin,State House,71,DEM,Cambria,Conemaugh Twp-Center,190,
Jim Rigby,State House,71,REP,Cambria,Conemaugh Twp-Center,254,
Write In,State House,71,,Cambria,Conemaugh Twp-Center,0,
Frank Burns,State House,72,DEM,Cambria,Conemaugh Twp-Center,,
Jerry Carnicella,State House,72,REP,Cambria,Conemaugh Twp-Center,,
Write In,State House,72,,Cambria,Conemaugh Twp-Center,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Conemaugh Twp-Center,,
Write In,State House,73,,Cambria,Conemaugh Twp-Center,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cresson Boro,213,
Lou Barletta,U.S. Senate,,REP,Cambria,Cresson Boro,291,
Neal Gale,U.S. Senate,,GR,Cambria,Cresson Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cresson Boro,14,
Write In,U.S. Senate,,,Cambria,Cresson Boro,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cresson Boro,213,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cresson Boro,300,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cresson Boro,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cresson Boro,11,
Write In,Governor & Lieutenant Governor,,,Cambria,Cresson Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Cresson Boro,,
John Joyce,US House,13,REP,Cambria,Cresson Boro,,
Write In,US House,13,,Cambria,Cresson Boro,,
Susan Boser,US House,15,DEM,Cambria,Cresson Boro,198,
Glenn Gt Thompson,US House,15,REP,Cambria,Cresson Boro,322,
Write In,US House,15,,Cambria,Cresson Boro,2,
Bryan Barbin,State House,71,DEM,Cambria,Cresson Boro,,
Jim Rigby,State House,71,REP,Cambria,Cresson Boro,,
Write In,State House,71,,Cambria,Cresson Boro,,
Frank Burns,State House,72,DEM,Cambria,Cresson Boro,288,
Jerry Carnicella,State House,72,REP,Cambria,Cresson Boro,237,
Write In,State House,72,,Cambria,Cresson Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cresson Boro,,
Write In,State House,73,,Cambria,Cresson Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cresson Twp-North,223,
Lou Barletta,U.S. Senate,,REP,Cambria,Cresson Twp-North,280,
Neal Gale,U.S. Senate,,GR,Cambria,Cresson Twp-North,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cresson Twp-North,1,
Write In,U.S. Senate,,,Cambria,Cresson Twp-North,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cresson Twp-North,227,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cresson Twp-North,274,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cresson Twp-North,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cresson Twp-North,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Cresson Twp-North,0,
Brent Ottaway,US House,13,DEM,Cambria,Cresson Twp-North,,
John Joyce,US House,13,REP,Cambria,Cresson Twp-North,,
Write In,US House,13,,Cambria,Cresson Twp-North,,
Susan Boser,US House,15,DEM,Cambria,Cresson Twp-North,196,
Glenn Gt Thompson,US House,15,REP,Cambria,Cresson Twp-North,314,
Write In,US House,15,,Cambria,Cresson Twp-North,0,
Bryan Barbin,State House,71,DEM,Cambria,Cresson Twp-North,,
Jim Rigby,State House,71,REP,Cambria,Cresson Twp-North,,
Write In,State House,71,,Cambria,Cresson Twp-North,,
Frank Burns,State House,72,DEM,Cambria,Cresson Twp-North,266,
Jerry Carnicella,State House,72,REP,Cambria,Cresson Twp-North,241,
Write In,State House,72,,Cambria,Cresson Twp-North,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cresson Twp-North,,
Write In,State House,73,,Cambria,Cresson Twp-North,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cresson Twp-South,185,
Lou Barletta,U.S. Senate,,REP,Cambria,Cresson Twp-South,225,
Neal Gale,U.S. Senate,,GR,Cambria,Cresson Twp-South,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cresson Twp-South,4,
Write In,U.S. Senate,,,Cambria,Cresson Twp-South,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cresson Twp-South,178,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cresson Twp-South,234,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cresson Twp-South,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cresson Twp-South,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Cresson Twp-South,1,
Brent Ottaway,US House,13,DEM,Cambria,Cresson Twp-South,,
John Joyce,US House,13,REP,Cambria,Cresson Twp-South,,
Write In,US House,13,,Cambria,Cresson Twp-South,,
Susan Boser,US House,15,DEM,Cambria,Cresson Twp-South,155,
Glenn Gt Thompson,US House,15,REP,Cambria,Cresson Twp-South,262,
Write In,US House,15,,Cambria,Cresson Twp-South,0,
Bryan Barbin,State House,71,DEM,Cambria,Cresson Twp-South,,
Jim Rigby,State House,71,REP,Cambria,Cresson Twp-South,,
Write In,State House,71,,Cambria,Cresson Twp-South,,
Frank Burns,State House,72,DEM,Cambria,Cresson Twp-South,230,
Jerry Carnicella,State House,72,REP,Cambria,Cresson Twp-South,190,
Write In,State House,72,,Cambria,Cresson Twp-South,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cresson Twp-South,,
Write In,State House,73,,Cambria,Cresson Twp-South,,
Bob Casey,U.S. Senate,,DEM,Cambria,Croyle Twp 1,174,
Lou Barletta,U.S. Senate,,REP,Cambria,Croyle Twp 1,315,
Neal Gale,U.S. Senate,,GR,Cambria,Croyle Twp 1,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Croyle Twp 1,3,
Write In,U.S. Senate,,,Cambria,Croyle Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Croyle Twp 1,165,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Croyle Twp 1,321,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Croyle Twp 1,7,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Croyle Twp 1,7,
Write In,Governor & Lieutenant Governor,,,Cambria,Croyle Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Croyle Twp 1,,
John Joyce,US House,13,REP,Cambria,Croyle Twp 1,,
Write In,US House,13,,Cambria,Croyle Twp 1,,
Susan Boser,US House,15,DEM,Cambria,Croyle Twp 1,145,
Glenn Gt Thompson,US House,15,REP,Cambria,Croyle Twp 1,347,
Write In,US House,15,,Cambria,Croyle Twp 1,0,
Bryan Barbin,State House,71,DEM,Cambria,Croyle Twp 1,,
Jim Rigby,State House,71,REP,Cambria,Croyle Twp 1,,
Write In,State House,71,,Cambria,Croyle Twp 1,,
Frank Burns,State House,72,DEM,Cambria,Croyle Twp 1,231,
Jerry Carnicella,State House,72,REP,Cambria,Croyle Twp 1,268,
Write In,State House,72,,Cambria,Croyle Twp 1,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Croyle Twp 1,,
Write In,State House,73,,Cambria,Croyle Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Croyle Twp 2,179,
Lou Barletta,U.S. Senate,,REP,Cambria,Croyle Twp 2,278,
Neal Gale,U.S. Senate,,GR,Cambria,Croyle Twp 2,6,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Croyle Twp 2,3,
Write In,U.S. Senate,,,Cambria,Croyle Twp 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Croyle Twp 2,173,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Croyle Twp 2,290,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Croyle Twp 2,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Croyle Twp 2,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Croyle Twp 2,1,
Brent Ottaway,US House,13,DEM,Cambria,Croyle Twp 2,,
John Joyce,US House,13,REP,Cambria,Croyle Twp 2,,
Write In,US House,13,,Cambria,Croyle Twp 2,,
Susan Boser,US House,15,DEM,Cambria,Croyle Twp 2,151,
Glenn Gt Thompson,US House,15,REP,Cambria,Croyle Twp 2,317,
Write In,US House,15,,Cambria,Croyle Twp 2,0,
Bryan Barbin,State House,71,DEM,Cambria,Croyle Twp 2,,
Jim Rigby,State House,71,REP,Cambria,Croyle Twp 2,,
Write In,State House,71,,Cambria,Croyle Twp 2,,
Frank Burns,State House,72,DEM,Cambria,Croyle Twp 2,215,
Jerry Carnicella,State House,72,REP,Cambria,Croyle Twp 2,254,
Write In,State House,72,,Cambria,Croyle Twp 2,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Croyle Twp 2,,
Write In,State House,73,,Cambria,Croyle Twp 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Daisytown Boro,54,
Lou Barletta,U.S. Senate,,REP,Cambria,Daisytown Boro,81,
Neal Gale,U.S. Senate,,GR,Cambria,Daisytown Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Daisytown Boro,1,
Write In,U.S. Senate,,,Cambria,Daisytown Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Daisytown Boro,55,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Daisytown Boro,82,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Daisytown Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Daisytown Boro,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Daisytown Boro,2,
Brent Ottaway,US House,13,DEM,Cambria,Daisytown Boro,42,
John Joyce,US House,13,REP,Cambria,Daisytown Boro,94,
Write In,US House,13,,Cambria,Daisytown Boro,0,
Susan Boser,US House,15,DEM,Cambria,Daisytown Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Daisytown Boro,,
Write In,US House,15,,Cambria,Daisytown Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Daisytown Boro,49,
Jim Rigby,State House,71,REP,Cambria,Daisytown Boro,90,
Write In,State House,71,,Cambria,Daisytown Boro,0,
Frank Burns,State House,72,DEM,Cambria,Daisytown Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Daisytown Boro,,
Write In,State House,72,,Cambria,Daisytown Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Daisytown Boro,,
Write In,State House,73,,Cambria,Daisytown Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Dale Boro,131,
Lou Barletta,U.S. Senate,,REP,Cambria,Dale Boro,125,
Neal Gale,U.S. Senate,,GR,Cambria,Dale Boro,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Dale Boro,3,
Write In,U.S. Senate,,,Cambria,Dale Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Dale Boro,131,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Dale Boro,130,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Dale Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Dale Boro,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Dale Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Dale Boro,109,
John Joyce,US House,13,REP,Cambria,Dale Boro,153,
Write In,US House,13,,Cambria,Dale Boro,0,
Susan Boser,US House,15,DEM,Cambria,Dale Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Dale Boro,,
Write In,US House,15,,Cambria,Dale Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Dale Boro,116,
Jim Rigby,State House,71,REP,Cambria,Dale Boro,147,
Write In,State House,71,,Cambria,Dale Boro,1,
Frank Burns,State House,72,DEM,Cambria,Dale Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Dale Boro,,
Write In,State House,72,,Cambria,Dale Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Dale Boro,,
Write In,State House,73,,Cambria,Dale Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Dean Twp,64,
Lou Barletta,U.S. Senate,,REP,Cambria,Dean Twp,88,
Neal Gale,U.S. Senate,,GR,Cambria,Dean Twp,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Dean Twp,1,
Write In,U.S. Senate,,,Cambria,Dean Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Dean Twp,68,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Dean Twp,84,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Dean Twp,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Dean Twp,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Dean Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Dean Twp,,
John Joyce,US House,13,REP,Cambria,Dean Twp,,
Write In,US House,13,,Cambria,Dean Twp,,
Susan Boser,US House,15,DEM,Cambria,Dean Twp,51,
Glenn Gt Thompson,US House,15,REP,Cambria,Dean Twp,104,
Write In,US House,15,,Cambria,Dean Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Dean Twp,,
Jim Rigby,State House,71,REP,Cambria,Dean Twp,,
Write In,State House,71,,Cambria,Dean Twp,,
Frank Burns,State House,72,DEM,Cambria,Dean Twp,79,
Jerry Carnicella,State House,72,REP,Cambria,Dean Twp,76,
Write In,State House,72,,Cambria,Dean Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Dean Twp,,
Write In,State House,73,,Cambria,Dean Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,East Carroll Twp - North,64,
Lou Barletta,U.S. Senate,,REP,Cambria,East Carroll Twp - North,73,
Neal Gale,U.S. Senate,,GR,Cambria,East Carroll Twp - North,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,East Carroll Twp - North,2,
Write In,U.S. Senate,,,Cambria,East Carroll Twp - North,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,East Carroll Twp - North,55,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,East Carroll Twp - North,84,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,East Carroll Twp - North,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,East Carroll Twp - North,1,
Write In,Governor & Lieutenant Governor,,,Cambria,East Carroll Twp - North,0,
Brent Ottaway,US House,13,DEM,Cambria,East Carroll Twp - North,,
John Joyce,US House,13,REP,Cambria,East Carroll Twp - North,,
Write In,US House,13,,Cambria,East Carroll Twp - North,,
Susan Boser,US House,15,DEM,Cambria,East Carroll Twp - North,57,
Glenn Gt Thompson,US House,15,REP,Cambria,East Carroll Twp - North,85,
Write In,US House,15,,Cambria,East Carroll Twp - North,0,
Bryan Barbin,State House,71,DEM,Cambria,East Carroll Twp - North,,
Jim Rigby,State House,71,REP,Cambria,East Carroll Twp - North,,
Write In,State House,71,,Cambria,East Carroll Twp - North,,
Frank Burns,State House,72,DEM,Cambria,East Carroll Twp - North,63,
Jerry Carnicella,State House,72,REP,Cambria,East Carroll Twp - North,74,
Write In,State House,72,,Cambria,East Carroll Twp - North,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,East Carroll Twp - North,,
Write In,State House,73,,Cambria,East Carroll Twp - North,,
Bob Casey,U.S. Senate,,DEM,Cambria,East Carroll Twp - South,179,
Lou Barletta,U.S. Senate,,REP,Cambria,East Carroll Twp - South,365,
Neal Gale,U.S. Senate,,GR,Cambria,East Carroll Twp - South,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,East Carroll Twp - South,7,
Write In,U.S. Senate,,,Cambria,East Carroll Twp - South,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,East Carroll Twp - South,177,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,East Carroll Twp - South,367,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,East Carroll Twp - South,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,East Carroll Twp - South,11,
Write In,Governor & Lieutenant Governor,,,Cambria,East Carroll Twp - South,1,
Brent Ottaway,US House,13,DEM,Cambria,East Carroll Twp - South,,
John Joyce,US House,13,REP,Cambria,East Carroll Twp - South,,
Write In,US House,13,,Cambria,East Carroll Twp - South,,
Susan Boser,US House,15,DEM,Cambria,East Carroll Twp - South,157,
Glenn Gt Thompson,US House,15,REP,Cambria,East Carroll Twp - South,394,
Write In,US House,15,,Cambria,East Carroll Twp - South,0,
