candidate,office,district,party,county,precinct,votes,election_night,absentee
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0060 SHENANGO TWP D3,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0060 SHENANGO TWP D3,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0060 SHENANGO TWP D3,130,127.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0060 SHENANGO TWP D3,193,186.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0060 SHENANGO TWP D3,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0060 SHENANGO TWP D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0060 SHENANGO TWP D3,177,169.0,8.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0060 SHENANGO TWP D3,148,146.0,2.0
WRITE-IN,State House,9.0,,Lawrence,0060 SHENANGO TWP D3,1,1.0,0.0
,Registered Voters,,,Lawrence,0061 SHENANGO TWP D4,584,,
,Ballots Cast,,,Lawrence,0061 SHENANGO TWP D4,376,368.0,8.0
,Straight Party,,DEM,Lawrence,0061 SHENANGO TWP D4,63,63.0,0.0
,Straight Party,,REP,Lawrence,0061 SHENANGO TWP D4,155,152.0,3.0
,Straight Party,,GRN,Lawrence,0061 SHENANGO TWP D4,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0061 SHENANGO TWP D4,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0061 SHENANGO TWP D4,127,127.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0061 SHENANGO TWP D4,240,233.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0061 SHENANGO TWP D4,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0061 SHENANGO TWP D4,5,4.0,1.0
WRITE-IN,U.S. Senate,,,Lawrence,0061 SHENANGO TWP D4,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0061 SHENANGO TWP D4,136,134.0,2.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0061 SHENANGO TWP D4,229,224.0,5.0
PAUL GLOVER,Governor,,GRN,Lawrence,0061 SHENANGO TWP D4,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0061 SHENANGO TWP D4,7,6.0,1.0
WRITE-IN,Governor,,,Lawrence,0061 SHENANGO TWP D4,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0061 SHENANGO TWP D4,118,117.0,1.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0061 SHENANGO TWP D4,247,240.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0061 SHENANGO TWP D4,9,9.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0061 SHENANGO TWP D4,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0061 SHENANGO TWP D4,168,166.0,2.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0061 SHENANGO TWP D4,204,198.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0061 SHENANGO TWP D4,2,2.0,0.0
,Registered Voters,,,Lawrence,0062 SHENANGO TWP D5,942,,
,Ballots Cast,,,Lawrence,0062 SHENANGO TWP D5,587,549.0,38.0
,Straight Party,,DEM,Lawrence,0062 SHENANGO TWP D5,128,119.0,9.0
,Straight Party,,REP,Lawrence,0062 SHENANGO TWP D5,184,166.0,18.0
,Straight Party,,GRN,Lawrence,0062 SHENANGO TWP D5,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0062 SHENANGO TWP D5,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0062 SHENANGO TWP D5,247,233.0,14.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0062 SHENANGO TWP D5,331,307.0,24.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0062 SHENANGO TWP D5,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0062 SHENANGO TWP D5,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0062 SHENANGO TWP D5,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0062 SHENANGO TWP D5,241,227.0,14.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0062 SHENANGO TWP D5,334,310.0,24.0
PAUL GLOVER,Governor,,GRN,Lawrence,0062 SHENANGO TWP D5,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0062 SHENANGO TWP D5,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0062 SHENANGO TWP D5,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0062 SHENANGO TWP D5,241,229.0,12.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0062 SHENANGO TWP D5,338,313.0,25.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0062 SHENANGO TWP D5,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0062 SHENANGO TWP D5,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0062 SHENANGO TWP D5,283,270.0,13.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0062 SHENANGO TWP D5,295,271.0,24.0
WRITE-IN,State House,9.0,,Lawrence,0062 SHENANGO TWP D5,0,0.0,0.0
,Registered Voters,,,Lawrence,0063 SHENANGO TWP D6,827,,
,Ballots Cast,,,Lawrence,0063 SHENANGO TWP D6,554,526.0,26.0
,Straight Party,,DEM,Lawrence,0063 SHENANGO TWP D6,99,93.0,6.0
,Straight Party,,REP,Lawrence,0063 SHENANGO TWP D6,188,179.0,9.0
,Straight Party,,GRN,Lawrence,0063 SHENANGO TWP D6,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0063 SHENANGO TWP D6,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0063 SHENANGO TWP D6,208,194.0,13.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0063 SHENANGO TWP D6,328,315.0,12.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0063 SHENANGO TWP D6,3,2.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0063 SHENANGO TWP D6,6,6.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0063 SHENANGO TWP D6,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0063 SHENANGO TWP D6,252,235.0,16.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0063 SHENANGO TWP D6,287,276.0,10.0
PAUL GLOVER,Governor,,GRN,Lawrence,0063 SHENANGO TWP D6,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0063 SHENANGO TWP D6,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0063 SHENANGO TWP D6,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0063 SHENANGO TWP D6,213,198.0,14.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0063 SHENANGO TWP D6,331,318.0,12.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0063 SHENANGO TWP D6,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0063 SHENANGO TWP D6,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0063 SHENANGO TWP D6,266,248.0,16.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0063 SHENANGO TWP D6,280,271.0,9.0
WRITE-IN,State House,9.0,,Lawrence,0063 SHENANGO TWP D6,4,4.0,0.0
,Registered Voters,,,Lawrence,0064 SLIPPERY ROCK TWP D1,1029,,
,Ballots Cast,,,Lawrence,0064 SLIPPERY ROCK TWP D1,657,618.0,30.0
,Straight Party,,DEM,Lawrence,0064 SLIPPERY ROCK TWP D1,95,90.0,4.0
,Straight Party,,REP,Lawrence,0064 SLIPPERY ROCK TWP D1,278,264.0,13.0
,Straight Party,,GRN,Lawrence,0064 SLIPPERY ROCK TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0064 SLIPPERY ROCK TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0064 SLIPPERY ROCK TWP D1,193,179.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0064 SLIPPERY ROCK TWP D1,444,419.0,22.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0064 SLIPPERY ROCK TWP D1,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0064 SLIPPERY ROCK TWP D1,10,10.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0064 SLIPPERY ROCK TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0064 SLIPPERY ROCK TWP D1,203,186.0,12.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0064 SLIPPERY ROCK TWP D1,436,416.0,16.0
PAUL GLOVER,Governor,,GRN,Lawrence,0064 SLIPPERY ROCK TWP D1,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0064 SLIPPERY ROCK TWP D1,7,6.0,1.0
WRITE-IN,Governor,,,Lawrence,0064 SLIPPERY ROCK TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0064 SLIPPERY ROCK TWP D1,179,166.0,9.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0064 SLIPPERY ROCK TWP D1,461,435.0,21.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0064 SLIPPERY ROCK TWP D1,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0064 SLIPPERY ROCK TWP D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0064 SLIPPERY ROCK TWP D1,588,554.0,27.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0064 SLIPPERY ROCK TWP D1,46,43.0,2.0
WRITE-IN,State House,10.0,,Lawrence,0064 SLIPPERY ROCK TWP D1,1,1.0,0.0
,Registered Voters,,,Lawrence,0065 SLIPPERY ROCK TWP D2,1000,,
,Ballots Cast,,,Lawrence,0065 SLIPPERY ROCK TWP D2,665,638.0,27.0
,Straight Party,,DEM,Lawrence,0065 SLIPPERY ROCK TWP D2,71,67.0,4.0
,Straight Party,,REP,Lawrence,0065 SLIPPERY ROCK TWP D2,307,297.0,10.0
,Straight Party,,GRN,Lawrence,0065 SLIPPERY ROCK TWP D2,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0065 SLIPPERY ROCK TWP D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0065 SLIPPERY ROCK TWP D2,169,161.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0065 SLIPPERY ROCK TWP D2,481,464.0,17.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0065 SLIPPERY ROCK TWP D2,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0065 SLIPPERY ROCK TWP D2,10,8.0,2.0
WRITE-IN,U.S. Senate,,,Lawrence,0065 SLIPPERY ROCK TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0065 SLIPPERY ROCK TWP D2,190,182.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0065 SLIPPERY ROCK TWP D2,469,451.0,18.0
PAUL GLOVER,Governor,,GRN,Lawrence,0065 SLIPPERY ROCK TWP D2,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0065 SLIPPERY ROCK TWP D2,3,2.0,1.0
WRITE-IN,Governor,,,Lawrence,0065 SLIPPERY ROCK TWP D2,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0065 SLIPPERY ROCK TWP D2,157,150.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0065 SLIPPERY ROCK TWP D2,494,475.0,19.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0065 SLIPPERY ROCK TWP D2,12,11.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0065 SLIPPERY ROCK TWP D2,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0065 SLIPPERY ROCK TWP D2,605,581.0,24.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0065 SLIPPERY ROCK TWP D2,54,51.0,3.0
WRITE-IN,State House,10.0,,Lawrence,0065 SLIPPERY ROCK TWP D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0066 TAYLOR TWP,621,,
,Ballots Cast,,,Lawrence,0066 TAYLOR TWP,349,305.0,44.0
,Straight Party,,DEM,Lawrence,0066 TAYLOR TWP,96,77.0,19.0
,Straight Party,,REP,Lawrence,0066 TAYLOR TWP,116,101.0,15.0
,Straight Party,,GRN,Lawrence,0066 TAYLOR TWP,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0066 TAYLOR TWP,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0066 TAYLOR TWP,176,151.0,25.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0066 TAYLOR TWP,164,145.0,19.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0066 TAYLOR TWP,4,4.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0066 TAYLOR TWP,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0066 TAYLOR TWP,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0066 TAYLOR TWP,172,150.0,22.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0066 TAYLOR TWP,166,145.0,21.0
PAUL GLOVER,Governor,,GRN,Lawrence,0066 TAYLOR TWP,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0066 TAYLOR TWP,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0066 TAYLOR TWP,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0066 TAYLOR TWP,164,141.0,23.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0066 TAYLOR TWP,174,153.0,21.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0066 TAYLOR TWP,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0066 TAYLOR TWP,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0066 TAYLOR TWP,314,274.0,40.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0066 TAYLOR TWP,31,28.0,3.0
WRITE-IN,State House,10.0,,Lawrence,0066 TAYLOR TWP,0,0.0,0.0
,Registered Voters,,,Lawrence,0067 UNION TWP D1,816,,
,Ballots Cast,,,Lawrence,0067 UNION TWP D1,460,444.0,15.0
,Straight Party,,DEM,Lawrence,0067 UNION TWP D1,143,137.0,5.0
,Straight Party,,REP,Lawrence,0067 UNION TWP D1,118,116.0,2.0
,Straight Party,,GRN,Lawrence,0067 UNION TWP D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0067 UNION TWP D1,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0067 UNION TWP D1,247,238.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0067 UNION TWP D1,204,197.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0067 UNION TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0067 UNION TWP D1,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0067 UNION TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0067 UNION TWP D1,255,247.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0067 UNION TWP D1,191,185.0,6.0
PAUL GLOVER,Governor,,GRN,Lawrence,0067 UNION TWP D1,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0067 UNION TWP D1,6,5.0,1.0
WRITE-IN,Governor,,,Lawrence,0067 UNION TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0067 UNION TWP D1,238,230.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0067 UNION TWP D1,210,202.0,8.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0067 UNION TWP D1,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0067 UNION TWP D1,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0067 UNION TWP D1,287,276.0,11.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0067 UNION TWP D1,167,163.0,4.0
WRITE-IN,State House,9.0,,Lawrence,0067 UNION TWP D1,3,3.0,0.0
,Registered Voters,,,Lawrence,0068 UNION TWP D2,767,,
,Ballots Cast,,,Lawrence,0068 UNION TWP D2,431,422.0,9.0
,Straight Party,,DEM,Lawrence,0068 UNION TWP D2,159,151.0,8.0
,Straight Party,,REP,Lawrence,0068 UNION TWP D2,81,80.0,1.0
,Straight Party,,GRN,Lawrence,0068 UNION TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0068 UNION TWP D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0068 UNION TWP D2,257,249.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0068 UNION TWP D2,164,163.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0068 UNION TWP D2,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0068 UNION TWP D2,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0068 UNION TWP D2,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0068 UNION TWP D2,263,255.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0068 UNION TWP D2,159,158.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0068 UNION TWP D2,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0068 UNION TWP D2,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0068 UNION TWP D2,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0068 UNION TWP D2,242,234.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0068 UNION TWP D2,181,180.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0068 UNION TWP D2,5,5.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0068 UNION TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0068 UNION TWP D2,315,307.0,8.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0068 UNION TWP D2,116,115.0,1.0
WRITE-IN,State House,9.0,,Lawrence,0068 UNION TWP D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0069 UNION TWP D3,835,,
,Ballots Cast,,,Lawrence,0069 UNION TWP D3,507,483.0,24.0
,Straight Party,,DEM,Lawrence,0069 UNION TWP D3,139,131.0,8.0
,Straight Party,,REP,Lawrence,0069 UNION TWP D3,133,127.0,6.0
,Straight Party,,GRN,Lawrence,0069 UNION TWP D3,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0069 UNION TWP D3,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0069 UNION TWP D3,260,244.0,16.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0069 UNION TWP D3,233,225.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0069 UNION TWP D3,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0069 UNION TWP D3,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0069 UNION TWP D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0069 UNION TWP D3,266,251.0,15.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0069 UNION TWP D3,231,222.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0069 UNION TWP D3,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0069 UNION TWP D3,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0069 UNION TWP D3,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0069 UNION TWP D3,248,235.0,13.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0069 UNION TWP D3,249,238.0,11.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0069 UNION TWP D3,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0069 UNION TWP D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0069 UNION TWP D3,287,274.0,13.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0069 UNION TWP D3,209,200.0,9.0
WRITE-IN,State House,9.0,,Lawrence,0069 UNION TWP D3,2,2.0,0.0
,Registered Voters,,,Lawrence,0070 UNION TWP D4,957,,
,Ballots Cast,,,Lawrence,0070 UNION TWP D4,533,504.0,28.0
,Straight Party,,DEM,Lawrence,0070 UNION TWP D4,137,129.0,8.0
,Straight Party,,REP,Lawrence,0070 UNION TWP D4,144,141.0,3.0
,Straight Party,,GRN,Lawrence,0070 UNION TWP D4,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0070 UNION TWP D4,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0070 UNION TWP D4,260,245.0,15.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0070 UNION TWP D4,263,250.0,12.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0070 UNION TWP D4,6,6.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0070 UNION TWP D4,2,1.0,1.0
WRITE-IN,U.S. Senate,,,Lawrence,0070 UNION TWP D4,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0070 UNION TWP D4,277,261.0,16.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0070 UNION TWP D4,246,233.0,12.0
PAUL GLOVER,Governor,,GRN,Lawrence,0070 UNION TWP D4,5,5.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0070 UNION TWP D4,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0070 UNION TWP D4,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0070 UNION TWP D4,251,238.0,13.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0070 UNION TWP D4,272,256.0,15.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0070 UNION TWP D4,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0070 UNION TWP D4,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0070 UNION TWP D4,304,282.0,22.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0070 UNION TWP D4,225,218.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0070 UNION TWP D4,2,2.0,0.0
,Registered Voters,,,Lawrence,0071 WASHINGTON TWP,526,,
,Ballots Cast,,,Lawrence,0071 WASHINGTON TWP,336,325.0,10.0
,Straight Party,,DEM,Lawrence,0071 WASHINGTON TWP,38,36.0,1.0
,Straight Party,,REP,Lawrence,0071 WASHINGTON TWP,162,157.0,5.0
,Straight Party,,GRN,Lawrence,0071 WASHINGTON TWP,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0071 WASHINGTON TWP,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0071 WASHINGTON TWP,90,88.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0071 WASHINGTON TWP,242,233.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0071 WASHINGTON TWP,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0071 WASHINGTON TWP,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0071 WASHINGTON TWP,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0071 WASHINGTON TWP,91,90.0,1.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0071 WASHINGTON TWP,239,230.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0071 WASHINGTON TWP,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0071 WASHINGTON TWP,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0071 WASHINGTON TWP,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0071 WASHINGTON TWP,92,88.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0071 WASHINGTON TWP,240,233.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0071 WASHINGTON TWP,1,1.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0071 WASHINGTON TWP,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0071 WASHINGTON TWP,306,299.0,7.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0071 WASHINGTON TWP,20,20.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0071 WASHINGTON TWP,0,0.0,0.0
,Registered Voters,,,Lawrence,0072 WAYNE TWP D1,584,,
,Ballots Cast,,,Lawrence,0072 WAYNE TWP D1,362,358.0,4.0
,Straight Party,,DEM,Lawrence,0072 WAYNE TWP D1,64,64.0,0.0
,Straight Party,,REP,Lawrence,0072 WAYNE TWP D1,111,109.0,2.0
,Straight Party,,GRN,Lawrence,0072 WAYNE TWP D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0072 WAYNE TWP D1,177,176.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0072 WAYNE TWP D1,175,172.0,3.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0072 WAYNE TWP D1,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0072 WAYNE TWP D1,187,185.0,2.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0072 WAYNE TWP D1,169,167.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0072 WAYNE TWP D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0072 WAYNE TWP D1,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0072 WAYNE TWP D1,165,165.0,0.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0072 WAYNE TWP D1,188,184.0,4.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0072 WAYNE TWP D1,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0072 WAYNE TWP D1,291,287.0,4.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0072 WAYNE TWP D1,68,68.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0072 WAYNE TWP D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0073 WAYNE TWP D2,1092,,
